abrazar,Verbos
abrochar,Verbos
acampar,Verbos
acariciar,Verbos
aceitar,Verbos
acercar,Verbos
acortar,Verbos
acostar,Verbos
adivinar,Verbos
afeitar,Verbos
afinar,Verbos
agachar,Verbos
agarrar,Verbos
agitar,Verbos
agrandar,Verbos
agrupar,Verbos
ahorrar,Verbos
alejar,Verbos
alimentar,Verbos
aliviar,Verbos
alojar,Verbos
alzar,Verbos
amar,Verbos
amasar,Verbos
andar,Verbos
animar,Verbos
aplaudir,Verbos
aplicar,Verbos
apretar,Verbos
apuntar,Verbos
arañar,Verbos
armar,Verbos
arrancar,Verbos
arreglar,Verbos
arriesgar,Verbos
arrugar,Verbos
asar,Verbos
asomar,Verbos
asustar,Verbos
atar,Verbos
atornillar,Verbos
atraer,Verbos
azotar,Verbos
bailar,Verbos
bajar,Verbos
barrer,Verbos
beber,Verbos
besar,Verbos
bordar,Verbos
borrar,Verbos
botar,Verbos
brincar,Verbos
bucear,Verbos
buscar,Verbos
cabalgar,Verbos
calentar,Verbos
cambiar,Verbos
camuflar,Verbos
cansar,Verbos
cantar,Verbos
capturar,Verbos
cargar,Verbos
cavar,Verbos
celebrar,Verbos
cepillar,Verbos
chorrear,Verbos
clavar,Verbos
cocinar,Verbos
colorear,Verbos
combinar,Verbos
comer,Verbos
compartir,Verbos
competir,Verbos
comprar,Verbos
conectar,Verbos
congelar,Verbos
corregir,Verbos
correr,Verbos
cosechar,Verbos
crecer,Verbos
criar,Verbos
cruzar,Verbos
cubrir,Verbos
cultivar,Verbos
danzar,Verbos
defender,Verbos
derramar,Verbos
derretir,Verbos
desayunar,Verbos
descansar,Verbos
desconectar,Verbos
desenchufar,Verbos
desenredar,Verbos
deshacer,Verbos
desmontar,Verbos
despeinar,Verbos
despertar,Verbos
destapar,Verbos
devolver,Verbos
dividir,Verbos
echar,Verbos
elevar,Verbos
empacar,Verbos
empujar,Verbos
enchufar,Verbos
enganchar,Verbos
engordar,Verbos
ensuciar,Verbos
entregar,Verbos
envolver,Verbos
escalar,Verbos
esconder,Verbos
escribir,Verbos
esculpir,Verbos
esperar,Verbos
espiar,Verbos
esquiar,Verbos
esquivar,Verbos
estudiar,Verbos
exprimir,Verbos
extraer,Verbos
fabricar,Verbos
festejar,Verbos
florecer,Verbos
freír,Verbos
frenar,Verbos
frotar,Verbos
fundir,Verbos
gastar,Verbos
girar,Verbos
golpear,Verbos
grabar,Verbos
gritar,Verbos
guisar,Verbos
hablar,Verbos
hacer,Verbos
herir,Verbos
hervir,Verbos
hinchar,Verbos
hundir,Verbos
ir,Verbos
juntar,Verbos
lamer,Verbos
lastimar,Verbos
lijar,Verbos
limpiar,Verbos
llorar,Verbos
madrugar,Verbos
manejar,Verbos
mojar,Verbos
morder,Verbos
mostrar,Verbos
nacer,Verbos
nadar,Verbos
nevar,Verbos
pasear,Verbos
patinar,Verbos
pedir,Verbos
pegar,Verbos
pensar,Verbos
perder,Verbos
pescar,Verbos
picar,Verbos
pinchar,Verbos
plantar,Verbos
prender,Verbos
prestar,Verbos
quemar,Verbos
quitar,Verbos
raspar,Verbos
rodar,Verbos
romper,Verbos
saltar,Verbos
secar,Verbos
sentar,Verbos
subir,Verbos
sudar,Verbos
sumar,Verbos
tejer,Verbos
temblar,Verbos
teñir,Verbos
tirar,Verbos
tocar,Verbos
tomar,Verbos
torcer,Verbos
tostar,Verbos
trabajar,Verbos
trepar,Verbos
tropezar,Verbos
unir,Verbos
vender,Verbos
venir,Verbos
vestir,Verbos
viajar,Verbos
vigilar,Verbos
vivir,Verbos
volar,Verbos
voltear,Verbos
vomitar,Verbos
votar,Verbos
